sample,days,pres1,pres2,pres3,rate1,rate2,rate3,qProd,ratio,category
0,31,3526.5,3531.4,3536.2,84.15238785,537.7913298,1824.649155,2.4111,0.000985493,train
0,60,3534.9,3539.8,3544.6,555.4057598,1243.64245,3193.136021,15.748,0.003154531,train
0,91,3539.7,3544.6,3549.4,824.6934009,1646.985948,3975.128516,23.371,0.003625205,train
0,121,3543,3547.8,3552.6,1009.828654,1915.881613,4496.456846,28.506,0.003840657,train
0,152,3546.7,3551.5,3556.3,1217.404544,2226.792225,5099.242727,34.348,0.004020395,train
0,182,3549.8,3554.7,3559.5,1391.319479,2495.68789,5620.571057,39.363,0.004140171,train
0,213,3552.1,3556.9,3561.7,1520.35314,2680.55366,5978.984284,42.952,0.004219299,train
0,244,3554,3558.8,3563.6,1626.946165,2840.210461,6288.52298,45.948,0.004271976,train
0,274,3555.3,3560.2,3564.9,1699.878235,2957.852314,6500.312614,48.084,0.004309358,train
0,305,3556.9,3561.8,3566.5,1789.640782,3092.300147,6760.976779,50.641,0.004349511,train
0,335,3558.4,3563.2,3568,1873.793169,3209.942,7005.349434,52.932,0.004378495,train
0,366,3559.9,3564.7,3569.5,1957.945557,3335.986843,7249.722088,55.339,0.004411713,train
0,397,3561.2,3566.1,3570.8,2030.877627,3453.628696,7461.511722,57.422,0.004435495,train
0,425,3562.3,3567.2,3571.9,2092.589378,3546.061581,7640.718336,59.189,0.004457215,train
0,456,3563.6,3568.4,3573.2,2165.521447,3646.897455,7852.50797,61.178,0.004477009,train
0,486,3564.7,3569.5,3574.3,2227.233198,3739.33034,8031.714583,62.909,0.004494053,train
0,517,3565.1,3569.9,3574.7,2249.673835,3772.942298,8096.880625,63.583,0.004503206,train
0,547,3565.6,3570.5,3575.2,2277.724631,3823.360236,8178.338176,64.434,0.004512367,train
0,578,3566.2,3571,3575.8,2311.385586,3865.375183,8276.087238,65.311,0.004518902,train
0,609,3566.9,3571.8,3576.5,2350.656701,3932.599099,8390.12781,66.482,0.004530789,train
0,639,3567.8,3572.6,3577.4,2401.148133,3999.823016,8536.751403,67.884,0.004544468,train
0,670,3568.9,3573.7,3578.4,2462.859884,4092.255901,8699.666506,69.59,0.004561848,train
0,700,3569.8,3574.7,3579.4,2513.351317,4176.285796,8862.581609,71.088,0.004570923,train
0,731,3570.8,3575.7,3580.4,2569.452909,4260.315691,9025.496712,72.653,0.004582263,train
0,762,3571.7,3576.5,3581.2,2619.944342,4327.539607,9155.828795,74.009,0.004595887,train
0,790,3572.2,3577,3581.8,2647.995138,4369.554555,9253.577857,74.87,0.004601402,train
0,821,3572.3,3577.1,3581.8,2653.605297,4377.957545,9253.577857,74.985,0.004604504,train
0,851,3572.9,3577.7,3582.4,2687.266252,4428.375482,9351.326918,75.945,0.00461196,train
0,882,3573.4,3578.3,3583,2715.317048,4478.793419,9449.07598,76.846,0.004617265,train
0,912,3573.8,3578.7,3583.4,2737.757685,4512.405377,9514.242022,77.434,0.004618953,train
0,943,3574.3,3579.1,3583.8,2765.808481,4546.017335,9579.408063,78.143,0.004626246,train
0,974,3574.6,3579.5,3584.2,2782.638958,4579.629293,9644.574104,78.744,0.004630136,train
0,1004,3575.4,3580.2,3584.9,2827.520232,4638.45022,9758.614676,79.874,0.004637209,train
0,1035,3576.1,3581,3585.7,2866.791346,4705.674136,9888.946759,81.117,0.004645501,train
0,1065,3576.7,3581.5,3586.2,2900.452301,4747.689084,9970.40431,81.986,0.004653392,train
0,1096,3577.1,3581.9,3586.7,2922.892938,4781.301042,10051.86186,82.647,0.004654581,train
0,1127,3577.7,3582.5,3587.2,2956.553893,4831.718979,10133.31941,83.517,0.004660133,train
0,1155,3577.8,3582.6,3587.3,2962.164052,4840.121969,10149.61092,83.704,0.004662683,train
0,1186,3578.3,3583.2,3587.9,2990.214848,4890.539906,10247.35999,84.57,0.004665129,train
0,1216,3578.8,3583.6,3588.3,3018.265644,4924.151864,10312.52603,85.328,0.004674241,train
0,1247,3579.2,3584,3588.7,3040.706281,4957.763822,10377.69207,85.913,0.004675242,train
0,1277,3579.5,3584.4,3589.1,3057.536758,4991.37578,10442.85811,86.481,0.004676729,train
0,1308,3580,3584.8,3589.5,3085.587554,5024.987738,10508.02415,87.175,0.004682146,train
0,1339,3580.4,3585.2,3589.9,3108.028191,5058.599696,10573.19019,87.857,0.004688253,train
0,1369,3581,3585.9,3590.6,3141.689146,5117.420623,10687.23076,88.882,0.004691249,train
0,1400,3581.6,3586.4,3591.1,3175.350101,5159.435571,10768.68832,89.726,0.004696842,train
0,1430,3582,3586.8,3591.5,3197.790738,5193.047529,10833.85436,90.386,0.004701558,train
0,1461,3582.3,3587.1,3591.8,3214.621216,5218.256497,10882.72889,90.85,0.004703451,train
0,1492,3582.6,3587.5,3592.1,3231.451693,5251.868455,10931.60342,91.381,0.00470674,train
0,1521,3582.9,3587.7,3592.4,3248.282171,5268.674435,10980.47795,91.769,0.004706722,train
0,1552,3583.3,3588.1,3592.8,3270.722808,5302.286393,11045.64399,92.44,0.004711842,train
0,1582,3583.6,3588.5,3593.2,3287.553285,5335.898351,11110.81003,92.991,0.00471216,train
0,1613,3584,3588.8,3593.5,3309.993922,5361.107319,11159.68456,93.562,0.004718018,train
